#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 190645:2486 | 04/07/12 15:20:00 | 101  | 101  | 630196.534     | 550858.290    |
| 190646:2486 | 04/07/12 16:02:01 | 111  | 111  | 643472.246     | 560256.303    |
| 190659:2488 | 04/07/12 20:50:42 | 135  | 135  | 2214063.655    | 2173310.500   |
| 190679:2489 | 04/08/12 07:07:31 | 55   | 55   | 882373.036     | 817002.255    |
| 190688:2490 | 04/08/12 10:57:06 | 181  | 181  | 4432321.316    | 4196805.324   |
| 190702:2491 | 04/08/12 14:21:38 | 117  | 117  | 6323561.799    | 5541152.616   |
| 190703:2491 | 04/08/12 15:11:10 | 252  | 252  | 12229887.383   | 11456658.252  |
| 190704:2491 | 04/08/12 16:52:53 | 3    | 3    | 135186.916     | 28862.432     |
| 190705:2491 | 04/08/12 16:56:54 | 364  | 364  | 14706659.328   | 14278873.245  |
| 190706:2491 | 04/08/12 19:48:45 | 126  | 126  | 4403007.402    | 4221933.177   |
| 190707:2491 | 04/08/12 20:45:58 | 256  | 256  | 8124005.033    | 7870843.340   |
| 190708:2491 | 04/08/12 23:06:30 | 189  | 189  | 5284062.561    | 5112756.619   |
| 190733:2493 | 04/09/12 06:34:11 | 386  | 386  | 19654451.187   | 19132243.768  |
| 190736:2493 | 04/09/12 09:19:26 | 183  | 183  | 7935332.427    | 7629453.780   |
| 190738:2493 | 04/09/12 10:38:18 | 345  | 345  | 13114742.358   | 12836409.935  |
| 190782:2497 | 04/10/12 00:05:08 | 350  | 350  | 19128651.089   | 18732391.221  |
| 190895:2500 | 04/10/12 16:03:35 | 874  | 874  | 36921379.779   | 36313763.401  |
| 190906:2501 | 04/11/12 04:01:33 | 421  | 421  | 20026408.866   | 19663201.837  |
| 190945:2505 | 04/11/12 14:02:23 | 84   | 84   | 4466345.176    | 4309322.341   |
| 190949:2505 | 04/11/12 14:39:43 | 81   | 81   | 3387827.994    | 3119738.438   |
| 191043:2508 | 04/12/12 12:03:55 | 2    | 2    | 140573.513     | 60439.274     |
| 191046:2508 | 04/12/12 12:17:58 | 228  | 228  | 14533381.671   | 13602319.646  |
| 191056:2508 | 04/12/12 13:58:44 | 10   | 10   | 588727.446     | 259784.175    |
| 191057:2508 | 04/12/12 14:12:14 | 38   | 38   | 2186464.309    | 2111210.840   |
| 191062:2508 | 04/12/12 14:42:25 | 538  | 538  | 26657923.856   | 26259413.240  |
| 191090:2509 | 04/13/12 00:58:18 | 55   | 55   | 2004877.153    | 1814181.025   |
| 191201:2511 | 04/13/12 13:54:03 | 40   | 40   | 3479402.799    | 3345991.747   |
| 191202:2511 | 04/13/12 14:14:53 | 97   | 97   | 7597327.566    | 7081424.080   |
| 191226:2513 | 04/13/12 23:13:58 | 1602 | 1602 | 95067681.394   | 93583791.541  |
